Name,Enabled,Database,Type,Label,Short label,Coalition,Era,Can target point,Can rearm,Acquisition range [m],Engagement range [m],Description,Abilities (comma separate values),Notes,ChatGPT description
Su-27,yes,Aircraft,Aircraft,Su-27 Flanker,27,red,Late Cold War,yes,no,,,"2 jet engine, swept wing, 1 crew. Flanker",Drogue AAR,"Fox 1 and fox 2, Gun, Dumb bombs, Rockets, Can AAR, Supersonic",
Su-30,yes,Aircraft,Aircraft,Su-30 Super Flanker,30,red,Late Cold War,yes,no,,,"2 jet engine, swept wing, 1 crew. Flanker",Drogue AAR,"Fox 1,2,3, Gun, Dumb bombs, smart bombs, ATGMS, anti-ship and SEAD, Can AAR, supersonic",
Su-33,yes,Aircraft,Aircraft,Su-33 Navy Flanker,33,red,Late Cold War,yes,no,,,"2 jet engine, swept wing, 1 crew. Flanker",Drogue AAR,"Fox 1 and fox 2, Gun, Dumb bombs, Rockets, Can AAR, Supersonic",
Su-34,yes,Aircraft,Aircraft,Su-34 Hellduck,34,red,Modern,yes,no,,,"2 Jet engine, swept wing, 2 crew, all weather fighter and strike. Fullback",Drogue AAR,"Fox 1,2,3, Gun, Dumb bombs, smart bombs, anti-ship, SEAD, Can AAR, supersonic",
Tornado GR4,yes,Aircraft,Aircraft,Tornado GR4,GR4,blue,Late Cold War,yes,no,,,"2 jet engine, swing wing, 2 crew, all weather strike.",Drogue AAR,"Fox 2 and gun, Dumb and laser bombs, Anti-ship and SEAD, Can AAR",
Tornado IDS,yes,Aircraft,Aircraft,Tornado IDS,IDS,blue,Late Cold War,yes,no,,,"2 jet engine, swing wing, 2 crew, all weather strike.",Drogue AAR,"Fox 2 and gun, Dumb and laser bombs, Anti-ship and SEAD, Can AAR",
Tu-142,yes,Aircraft,Aircraft,Tu-142 Bear,142,red,Mid Cold War,yes,no,,,"4 turboprop, swept wing, 11 crew, bomber. Bear",,"Anti-ship missiles, Subsonic",
Tu-160,yes,Aircraft,Aircraft,Tu-160 Blackjack,160,red,Late Cold War,yes,no,,,"4 jet engine, swing wing, 4 crew bomber. Blackjack",,"Anti-ship missiles, Supersonic",
Tu-22M3,yes,Aircraft,Aircraft,Tu-22M3 Backfire,T22,red,Late Cold War,yes,no,,,"2 jet engine, swing wing, 4 crew bomber. Backfire",,"Dumb bombs and anti-ship missiles, Supersonic",
Tu-95MS,yes,Aircraft,Aircraft,Tu-95MS Bear,95,red,Mid Cold War,yes,no,,,"4 turboprop, swept wing, 6 crew, bomber. Bear",,"Anti-ship missiles, Subsonic",
1L13 EWR,yes,Ground Unit,EW Radar,Box Spring,1L13 EWR,red,Late Cold War,no,no,300000,0,EWR built on a truck trailer,,"500km range, 40km altitude",Box Spring: Mobile electronic warfare system designed to disrupt enemy communication and Radar systems.
2B11 mortar,yes,Ground Unit,Artillery,2B11 mortar,2B11 mortar,red,Late Cold War,yes,no,0,7000,Man portable 120mm mortar,,"0,5km-7km 12-15 rpm","2B11 mortar: Soviet 120mm towed mortar, known for its portability and effective indirect fire support."
2S6 Tunguska,yes,Ground Unit,AAA,SA-19 Tunguska,SA-19,red,Late Cold War,yes,no,18000,8000,2K22 Tunguska. Tracked self-propelled anti-aircraft 30mm guns and missiles,,"Can move, Radar gun, optical missiles, 5nm/12,000ft","SA-19 Tunguska: Russian self-propelled anti-aircraft weapon system, combining both guns and missiles for air defense."
55G6 EWR,yes,Ground Unit,EW Radar,Tall Rack,55G6 EWR,red,Early Cold War,no,no,400000,0,EWR built on a truck trailer,,"500km range, 40km altitude",Tall Rack: Naval electronic warfare system designed for electronic countermeasures.
5p73 s-125 ln,yes,Ground Unit,SAM Launcher,SA-3 Launcher,5p73 s-125 ln,red,Early Cold War,yes,no,0,18000,4 SA-3 missiles on a static emplacement. Requires grouping with SA-3 components,,10nm range,"SA-3 Launcher: Soviet surface-to-air missile launcher, part of the SA-3 Goa air defense system."
AA8,yes,Ground Unit,Unarmed,Firefighter Vehicle AA-7.2/60,Firefighter Vehicle AA-7.2/60,,,no,no,0,0,,,,Firefighter Vehicle AA-7.2/60: Firefighting vehicle equipped with a 7.2m telescopic ladder.
AAV7,yes,Ground Unit,Armoured Personnel Carrier,AAV7,AAV7,blue,Mid Cold War,yes,no,0,1200,Amphibious assault vehicle. Tracked,,"12,7mm machine gun, 64 km/h road, 13,5 km/h water",AAV7: Amphibious Assault Vehicle used by the United States Marine Corps for troop transport.
Allies_Director,no,Ground Unit,Unarmed,Allies Rangefinder (DRT),Allies Rangefinder (DRT),,,no,no,30000,0,,,,Allies Rangefinder (DRT): Allied artillery rangefinder for accurate target distance measurement.
ATMZ-5,yes,Ground Unit,Unarmed,ATMZ-5,ATMZ-5,red,Early Cold War,no,no,0,0,Refueler truck. Wheeled,,"unarmed, 75 km/h on road",ATMZ-5: Soviet pontoon bridge and ferry system used for river crossings.
ATZ-10,yes,Ground Unit,Unarmed,ATZ-10,ATZ-10,red,Early Cold War,no,no,0,0,Refueler truck. Wheeled,,"unarmed, 75 km/h on road",ATZ-10: Soviet military refueling vehicle used to refuel tanks and other military vehicles.
ATZ-5,yes,Ground Unit,Unarmed,Refueler ATZ-5,Refueler ATZ-5,,,no,no,0,0,,,,Refueler ATZ-5: Mobile refueling vehicle used for fueling military vehicles.
ATZ-60_Maz,yes,Ground Unit,Unarmed,Refueler ATZ-60 Tractor (MAZ-7410),Refueler ATZ-60 Tractor (MAZ-7410),,,no,no,0,0,,,,Refueler ATZ-60 Tractor (MAZ-7410): Military refueling tractor used for ground vehicle refueling.
Bedford_MWD,yes,Ground Unit,Unarmed,Truck Bedford,Truck Bedford,,,no,no,0,0,,,,Truck Bedford: British military truck used for various logistical purposes.
Blitz_36-6700A,yes,Ground Unit,Unarmed,Truck Opel Blitz,Truck Opel Blitz,,,no,yes,0,0,,,,Truck Opel Blitz: German military truck used during World War II.
BMD-1,yes,Ground Unit,Infantry Fighting Vehicle,BMD-1,BMD-1,red,Mid Cold War,yes,no,0,3000,Infantry fighting vehicle. Tracked. Amphibious,,"73mm gun, 7,62 gun, 70 km/h road, 10 km/h water",BMD-1: Airborne infantry fighting vehicle with amphibious capabilities used by the Soviet Union.
BMP-1,yes,Ground Unit,Infantry Fighting Vehicle,BMP-1,BMP-1,red,Mid Cold War,yes,no,0,3000,Infantry fighting vehicle. Tracked. Amphibious,,"ATGM, 73mm gun, 7,62 gun, 65 km/h road, 7 km/h water","BMP-1: Soviet infantry fighting vehicle, a pioneer in combining heavy firepower with troop transport."
BMP-2,yes,Ground Unit,Infantry Fighting Vehicle,BMP-2,BMP-2,red,Mid Cold War,yes,no,0,3000,Infantry fighting vehicle. Tracked. Amphibious,,"ATGM, 30mm gun, 7,62 gun, 65 km/h road, 7 km/h water","BMP-2: Upgraded version of the BMP-1, featuring enhanced weaponry and protection."
BMP-3,yes,Ground Unit,Infantry Fighting Vehicle,BMP-3,BMP-3,red,Late Cold War,yes,no,0,4000,Infantry fighting vehicle. Tracked. Amphibious,,"ATGM, 100mm gun, 30mm gun, 7,62 gun, 65 km/h road, 7 km/h water",BMP-3: Modern Russian infantry fighting vehicle with significant improvements in firepower and mobility.
bofors40,yes,Ground Unit,AAA,AAA Bofors 40mm,AAA Bofors 40mm,,,yes,no,0,4000,,,,AAA Bofors 40mm: Swedish-designed anti-aircraft gun with a 40mm caliber.
Boxcartrinity,yes,Ground Unit,Carriage,Flatcar,Flatcar,,,no,no,0,0,,,,Flatcar: Railway wagon with a flat platform for transporting heavy equipment.
BRDM-2,yes,Ground Unit,Armoured Car,BRDM-2,BRDM-2,red,Early Cold War,no,no,0,1600,Scout car. Wheeled. Amphibious,,"14,5mm gun, 7,62mm gun, 100 km/h road, 10 km/h water",BRDM-2: Amphibious armored reconnaissance vehicle used by various countries.
BTR_D,yes,Ground Unit,Armoured Personnel Carrier,BTR_D,BTR_D,red,Mid Cold War,yes,no,0,3000,Armoured persononel carrier. Tracked.,,"ATGM, 7,62mm gun, 61 km/h road",BTR-D: Soviet airborne multi-purpose tracked vehicle designed for troop transport.
BTR-80,yes,Ground Unit,Armoured Personnel Carrier,BTR-80,BTR-80,red,Late Cold War,yes,no,0,1600,Armoured persononel carrier. Wheeled. Amphibious,,"14,5mm gun, 7,62mm gun, 80 km/h road, 10 km/h water",BTR-80: 8x8 wheeled armored personnel carrier known for its versatility and mobility.
BTR-82A,yes,Ground Unit,Infantry Fighting Vehicle,Infantry Fighting Vehicle BTR-82A,Infantry Fighting Vehicle BTR-82A,,,yes,no,0,2000,,,,Infantry Fighting Vehicle BTR-82A: Russian infantry fighting vehicle known for its versatility.
Bunker,yes,Ground Unit,Structure,Bunker,Bunker,,,no,no,0,800,Concrete bunker. Structure. Fixed Position.,,"12,7 mm machine gun,",Bunker: Fortified military structure providing protection and strategic position.
CCKW_353,no,Ground Unit,Unarmed,"Truck GMC ""Jimmy"" 6x6","Truck GMC ""Jimmy"" 6x6",,,no,no,0,0,,,,"Truck GMC ""Jimmy"" 6x6: American military truck used for various logistical purposes."
Centaur_IV,no,Ground Unit,Tank,Tk Centaur IV CS,Tk Centaur IV CS,,,yes,no,0,6000,,,,Tk Centaur IV CS: British cruiser tank variant with close support modifications.
Challenger2,yes,Ground Unit,Tank,Challenger2,Challenger2,blue,Modern,yes,no,0,3500,Main battle tank. Tracked. Modern and heavily armoured.,,"120mm gun, 7,62 mm gun x 2, 59 km/h road, 40 km/h off,",Challenger 2: British main battle tank known for its armor protection and firepower.
Chieftain_mk3,yes,Ground Unit,Tank,Tank Chieftain Mk.3,Tank Chieftain Mk.3,,,yes,no,0,3500,,,,Tank Chieftain Mk.3: British main battle tank known for its heavy armor.
Churchill_VII,no,Ground Unit,Tank,Tk Churchill VII,Tk Churchill VII,,,yes,no,0,3000,,,,Tk Churchill VII: British infantry tank known for its heavy armor.
Coach a passenger,yes,Ground Unit,Carriage,Passenger Car,Passenger Car,,,no,no,0,0,,,,Passenger Car: Railway carriage for passenger transport.
Coach a platform,yes,Ground Unit,Carriage,Coach Platform,Coach Platform,,,no,no,0,0,,,,Coach Platform: Railway wagon with a flat platform for transporting heavy equipment.
Coach a tank blue,yes,Ground Unit,Carriage,Tank Car blue,Tank Car blue,,,no,no,0,0,,,,Tank Car blue: Railway tank car used for transporting liquids.
Coach a tank yellow,yes,Ground Unit,Carriage,Tank Car yellow,Tank Car yellow,,,no,no,0,0,,,,Tank Car yellow: Railway tank car used for transporting liquids.
Coach cargo,yes,Ground Unit,Carriage,Freight Van,Freight Van,,,no,no,0,0,,,,Freight Van: Railway wagon used for transporting goods.
Coach cargo open,yes,Ground Unit,Carriage,Open Wagon,Open Wagon,,,no,no,0,0,,,,Open Wagon: Open railway wagon for bulk cargo.
Cobra,yes,Ground Unit,Armoured Car,Otokar Cobra,Cobra,blue,Modern,yes,no,0,1200,"Armoured car, MRAP. Wheeled.",,"12,7 mm machine gun,","Otokar Cobra: Turkish armored vehicle used for reconnaissance, patrol, and security missions."
Cromwell_IV,no,Ground Unit,Tank,Tk Cromwell IV,Tk Cromwell IV,,,yes,no,0,3000,,,,Tk Cromwell IV: British cruiser tank used during World War II.
Daimler_AC,no,Ground Unit,Armoured Car,Car Daimler Armored,Car Daimler Armored,,,yes,no,0,2000,,,,Car Daimler Armored: British armored car used for reconnaissance.
Dog Ear radar,yes,Ground Unit,SAM Track Radar,Dog Ear,Dog Ear Radar,red,Mid Cold War,no,no,35000,0,9S80-1 Sborka Mobile. Tracked fire control Radar that can integrate with missile and gun systems.,,"90 km detection range, 35 km tracking range,",Dog Ear: Mobile Radar system used for early warning and target acquisition.
DR_50Ton_Flat_Wagon,no,Ground Unit,Carriage,DR 50-ton flat wagon,DR 50-ton flat wagon,,,no,no,0,0,,,,DR 50-ton flat wagon: Railway flat wagon with a capacity for heavy loads.
DRG_Class_86,no,Ground Unit,Locomotive,Loco DRG Class 86,Loco DRG Class 86,,,no,no,0,0,,,,Loco DRG Class 86: German steam locomotive used for transportation.
Electric locomotive,yes,Ground Unit,Locomotive,Loco VL80 Electric,Loco VL80 Electric,,,no,no,0,0,,,,Loco VL80 Electric: Electric locomotive used for transportation.
Elefant_SdKfz_184,no,Ground Unit,Tank,Self Propelled Gun Elefant TD,Self Propelled Gun Elefant TD,,,yes,no,0,6000,,,,Self Propelled Gun Elefant TD: German tank destroyer with heavy armor.
ES44AH,yes,Ground Unit,Locomotive,Loco ES44AH,Loco ES44AH,,,no,no,0,0,,,,Loco ES44AH: Diesel-electric locomotive used for freight transportation.
fire_control,no,Ground Unit,Structure,Bunker with Fire Control Center,Bunker with Fire Control Center,,,no,no,0,1100,,,,Bunker with Fire Control Center: Fortified bunker with integrated fire control.
flak18,yes,Ground Unit,AAA,"AAA 8,8cm Flak 18","AAA 8,8cm Flak 18",,,yes,no,0,5000,,,,"AAA 8,8cm Flak 18: German anti-aircraft gun with an 88mm caliber."
Flakscheinwerfer_37,no,Ground Unit,AAA,SL Flakscheinwerfer 37,SL Flakscheinwerfer 37,,,yes,no,15000,15000,,,,SL Flakscheinwerfer 37: German searchlight used for anti-aircraft defense.
FPS-117,yes,Ground Unit,EW Radar,EW Radar,EWR AN/FPS-117 Radar,,,no,no,463000,0,,,,EWR AN/FPS-117 Radar: Early warning Radar system used for surveillance.
FPS-117 Dome,yes,Ground Unit,EW Radar,EWR AN/FPS-117 Radar (domed),EWR AN/FPS-117 Radar (domed),,,no,no,400000,0,,,,EWR AN/FPS-117 Radar (domed): Early warning Radar system with a domed radome.
FPS-117 ECS,yes,Ground Unit,EW Radar,EWR AN/FPS-117 ECS,EWR AN/FPS-117 ECS,,,no,no,0,0,,,,EWR AN/FPS-117 ECS: Early warning Radar system with an environmental control system.
FuMG-401,no,Ground Unit,EW Radar,EWR FuMG-401 Freya LZ,EWR FuMG-401 Freya LZ,,,no,no,160000,0,,,,EWR FuMG-401 Freya LZ: German early warning Radar system.
FuSe-65,no,Ground Unit,EW Radar,EWR FuSe-65 Würzburg-Riese,EWR FuSe-65 Würzburg-Riese,,,no,no,60000,0,,,,EWR FuSe-65 Würzburg-Riese: German Radar system used for target acquisition.
GAZ-3307,yes,Ground Unit,Unarmed,GAZ-3307,GAZ-3307,red,Early Cold War,no,no,0,0,"Civilian truck, single axle, wheeled",,56 mph,GAZ-3307: Soviet/Russian military truck used for various logistics purposes.
GAZ-3308,yes,Ground Unit,Unarmed,GAZ-3308,GAZ-3308,red,Early Cold War,no,yes,0,0,"Military truck, single axle, canvas covered cargo bay. wheeled",,"Rearms ground units of same coaltion, 56 mph","GAZ-3308: Military version of the GAZ-3307, widely used for transportation."
GAZ-66,yes,Ground Unit,Unarmed,GAZ-66,GAZ-66,red,Early Cold War,no,yes,0,0,"Military truck, single axle, open cargo bay. wheeled",,90 km/h,GAZ-66: Soviet/Russian military truck known for its off-road capabilities.
